iter	Passed	Remaining
458	816	961
459	817	959
460	819	957
461	820	955
462	822	953
463	824	951
464	825	950
465	827	948
466	828	946
467	830	944
468	832	942
469	833	940
470	835	938
471	837	936
472	838	934
473	840	932
474	841	930
475	843	928
476	845	926
477	846	924
478	848	922
479	850	920
480	851	918
481	853	917
482	854	915
483	856	913
484	857	911
485	859	908
486	861	907
487	863	905
488	864	903
489	866	902
490	868	900
491	869	898
492	871	896
493	873	894
494	874	892
495	876	890
496	878	888
497	879	886
498	881	884
499	883	883
500	884	881
501	886	879
502	887	877
503	889	875
504	891	873
505	892	871
506	894	869
507	895	867
508	897	865
509	898	863
510	900	861
511	902	859
512	903	858
513	905	856
514	907	854
515	908	852
516	910	850
517	912	848
518	914	847
519	915	845
520	917	843
521	919	841
522	920	839
523	922	838
524	924	836
525	926	834
526	927	832
527	929	831
528	931	829
529	933	827
530	935	825
531	936	823
532	938	822
533	940	820
534	941	818
535	943	816
536	944	814
537	946	812
538	948	811
539	950	809
540	951	807
541	953	805
542	955	803
543	957	802
544	959	800
545	960	798
546	962	797
547	964	795
548	966	793
549	967	791
550	969	790
551	971	788
552	973	786
553	974	784
554	976	783
555	978	781
556	980	779
557	982	778
558	984	776
559	985	774
560	987	772
561	989	770
562	991	769
563	992	767
564	994	765
565	996	764
566	998	762
567	1000	760
568	1002	759
569	1004	757
570	1006	755
571	1008	754
572	1009	752
573	1011	750
574	1013	749
575	1015	747
576	1017	745
577	1019	744
578	1021	742
579	1023	740
580	1025	739
581	1027	737
582	1028	736
583	1030	734
584	1032	732
585	1034	730
586	1036	729
587	1038	727
588	1040	725
589	1041	724
590	1043	722
591	1046	720
592	1048	719
593	1050	717
594	1051	716
595	1053	714
596	1055	712
597	1057	710
598	1059	709
599	1061	707
600	1063	705
601	1064	704
602	1066	702
603	1068	700
604	1070	699
605	1072	697
606	1074	695
607	1076	694
608	1078	692
609	1080	690
610	1082	689
611	1084	687
612	1085	685
613	1087	683
614	1089	681
615	1091	680
616	1093	678
617	1095	676
618	1096	675
619	1098	673
620	1101	672
621	1103	670
622	1104	668
623	1106	666
624	1108	665
625	1110	663
626	1112	661
627	1113	659
628	1115	658
629	1117	656
630	1119	654
631	1121	652
632	1123	651
633	1125	649
634	1127	647
635	1128	646
636	1130	644
637	1132	642
638	1134	641
639	1136	639
640	1138	637
641	1140	635
642	1142	634
643	1143	632
644	1145	630
645	1147	628
646	1149	627
647	1151	625
648	1153	623
649	1155	622
650	1157	620
651	1163	620
652	1165	619
653	1168	618
654	1170	616
655	1172	614
656	1175	613
657	1177	612
658	1179	610
659	1181	608
660	1184	607
661	1186	606
662	1189	604
663	1192	603
664	1194	601
665	1197	600
666	1201	599
667	1204	598
668	1208	598
669	1211	596
670	1213	594
671	1215	593
672	1217	591
673	1219	589
674	1221	587
675	1223	586
676	1225	584
677	1228	583
678	1230	581
679	1232	579
680	1234	578
681	1237	577
682	1241	575
683	1245	575
684	1246	573
685	1249	571
686	1251	570
687	1254	568
688	1257	567
689	1259	565
690	1261	564
691	1263	562
692	1265	560
693	1267	558
694	1269	556
695	1271	555
696	1273	553
697	1275	551
698	1277	550
699	1279	548
700	1281	546
701	1284	545
702	1286	543
703	1288	541
704	1291	540
705	1292	538
706	1295	536
707	1297	534
708	1299	533
709	1300	531
710	1302	529
711	1304	527
712	1306	525
713	1308	524
714	1310	522
715	1312	520
716	1314	518
717	1316	517
718	1318	515
719	1321	513
720	1323	512
721	1324	510
722	1326	508
723	1328	506
724	1330	504
725	1332	502
726	1334	501
727	1336	499
728	1338	497
729	1340	495
730	1342	494
731	1344	492
732	1346	490
733	1348	488
734	1350	486
735	1351	484
736	1353	483
737	1355	481
738	1357	479
739	1359	477
740	1361	476
741	1364	474
742	1366	472
743	1367	470
744	1369	468
745	1371	467
746	1375	465
747	1377	464
748	1380	462
749	1382	460
750	1384	458
751	1385	457
752	1387	455
753	1389	453
754	1391	451
755	1393	449
756	1395	448
757	1397	446
758	1399	444
759	1401	442
760	1403	440
761	1405	439
762	1407	437
763	1409	435
764	1411	433
765	1413	431
766	1415	429
767	1416	427
768	1418	426
769	1420	424
770	1422	422
771	1424	420
772	1426	418
773	1428	417
774	1430	415
775	1433	413
776	1434	411
777	1436	410
778	1438	408
779	1440	406
780	1442	404
781	1444	402
782	1445	400
783	1447	398
784	1449	396
785	1450	395
786	1452	393
787	1454	391
788	1455	389
789	1457	387
790	1459	385
791	1460	383
792	1462	381
793	1464	379
794	1466	378
795	1468	376
796	1470	374
797	1471	372
798	1473	370
799	1475	368
800	1477	366
801	1478	365
802	1480	363
803	1482	361
804	1484	359
805	1485	357
806	1487	355
807	1489	353
808	1490	352
809	1492	350
810	1494	348
811	1495	346
812	1497	344
813	1499	342
814	1500	340
815	1502	338
816	1504	336
817	1506	335
818	1507	333
819	1509	331
820	1511	329
821	1513	327
822	1515	325
823	1516	323
824	1518	322
825	1520	320
826	1522	318
827	1524	316
828	1526	314
829	1527	312
830	1529	311
831	1530	309
832	1532	307
833	1534	305
834	1536	303
835	1538	301
836	1539	299
837	1541	298
838	1543	296
839	1544	294
840	1546	292
841	1548	290
842	1550	288
843	1552	286
844	1554	285
845	1555	283
846	1557	281
847	1559	279
848	1561	277
849	1563	275
850	1565	274
851	1566	272
852	1568	270
853	1570	268
854	1572	266
855	1574	264
856	1575	262
857	1577	261
858	1579	259
859	1581	257
860	1582	255
861	1584	253
862	1586	251
863	1588	250
864	1590	248
865	1592	246
866	1593	244
867	1595	242
868	1597	240
869	1599	238
870	1601	237
871	1602	235
872	1604	233
873	1606	231
874	1608	229
875	1610	227
876	1612	226
877	1614	224
878	1616	222
879	1618	220
880	1620	218
881	1621	216
882	1623	215
883	1625	213
884	1627	211
885	1628	209
886	1630	207
887	1632	205
888	1634	204
889	1635	202
890	1637	200
891	1639	198
892	1641	196
893	1642	194
894	1644	192
895	1646	191
896	1648	189
897	1649	187
898	1651	185
899	1653	183
900	1655	181
901	1657	180
902	1658	178
903	1660	176
904	1662	174
905	1664	172
906	1666	170
907	1668	169
908	1669	167
909	1671	165
910	1673	163
911	1675	161
912	1677	159
913	1679	157
914	1680	156
915	1682	154
916	1684	152
917	1685	150
918	1687	148
919	1689	146
920	1690	145
921	1692	143
922	1693	141
923	1695	139
924	1697	137
925	1698	135
926	1700	133
927	1701	132
928	1703	130
929	1705	128
930	1706	126
931	1708	124
932	1709	122
933	1711	120
934	1713	119
935	1714	117
936	1716	115
937	1718	113
938	1720	111
939	1721	109
940	1723	108
941	1724	106
942	1726	104
943	1728	102
944	1729	100
945	1731	98
946	1732	96
947	1734	95
948	1735	93
949	1737	91
950	1739	89
951	1740	87
952	1742	85
953	1744	84
954	1745	82
955	1747	80
956	1748	78
957	1750	76
958	1752	74
959	1753	73
960	1755	71
961	1757	69
962	1758	67
963	1760	65
964	1762	63
965	1763	62
966	1765	60
967	1766	58
968	1768	56
969	1770	54
970	1772	52
971	1773	51
972	1775	49
973	1777	47
974	1779	45
975	1780	43
976	1782	41
977	1784	40
978	1786	38
979	1788	36
980	1789	34
981	1791	32
982	1793	31
983	1796	29
984	1797	27
985	1799	25
986	1801	23
987	1803	21
988	1805	20
989	1807	18
990	1809	16
991	1810	14
992	1812	12
993	1814	10
994	1816	9
995	1818	7
996	1819	5
997	1821	3
998	1823	1
999	1825	0
