iter	MultiClass
0	1.066259371
1	1.033085291
2	1.010221076
3	0.9808883342
4	0.9517705692
5	0.9318368867
6	0.9123147776
7	0.8962134214
8	0.8827673321
9	0.8687878398
10	0.8551645447
11	0.8370807236
12	0.8233270214
13	0.8091266035
14	0.7996674868
15	0.7861325996
16	0.7713748771
17	0.7590158465
18	0.7497090603
19	0.7398748763
20	0.7253171119
21	0.7176526145
22	0.7062919882
23	0.6966556899
24	0.6899959617
25	0.6809398384
26	0.6730504119
27	0.6625262038
28	0.6534312029
29	0.6454914325
30	0.6412531708
31	0.6344539699
32	0.6257112106
33	0.6182463052
34	0.611056025
35	0.6054398517
36	0.5967197915
37	0.5912507814
38	0.5855987222
39	0.5794268578
40	0.5721490126
41	0.5670881694
42	0.559071913
43	0.5553833262
44	0.551204825
45	0.545052658
46	0.5415194027
47	0.5379723188
48	0.533933796
49	0.5309318403
50	0.5256480727
51	0.5213024412
52	0.5175558464
53	0.51340864
54	0.5086206008
55	0.506530886
56	0.503591159
57	0.4986352545
58	0.4957422194
59	0.4926558368
60	0.4867692229
61	0.4828610069
62	0.4793137161
63	0.4763071939
64	0.473727239
65	0.4723822451
66	0.4686666749
67	0.4659601537
68	0.4619909905
69	0.4573378693
70	0.4525276222
71	0.4505159581
72	0.4462839001
73	0.4447325792
74	0.4416641679
75	0.4367937209
76	0.4348571992
77	0.4316243002
78	0.4274864537
79	0.4237102928
80	0.4213489841
81	0.4194154345
82	0.4144708431
83	0.4111310956
84	0.4076151116
85	0.4045637479
86	0.4022497169
87	0.3997216497
88	0.3972702707
89	0.3960719499
90	0.3939406087
91	0.3913607561
92	0.3897216097
93	0.3872869037
94	0.3860890651
95	0.3840285144
96	0.3809822535
97	0.3786882391
98	0.3763109772
99	0.3728246982
100	0.3695040758
101	0.3680208835
102	0.3642511923
103	0.3627444197
104	0.3608418496
105	0.3574205277
106	0.355839688
107	0.3540001311
108	0.3521588868
109	0.3501558549
110	0.3484664628
111	0.346979162
112	0.345161591
113	0.3438773502
114	0.3428108845
115	0.339873446
116	0.3380706677
117	0.3364101284
118	0.3347383411
119	0.3322217737
120	0.3311038928
121	0.3295406705
122	0.3278904952
123	0.3252027169
124	0.324243203
125	0.3230242837
126	0.3206359429
127	0.3185912715
128	0.3171493285
129	0.3155812722
130	0.3130920373
131	0.3110450123
132	0.3093614919
133	0.3082410614
134	0.3058803688
135	0.3047745564
136	0.3027589521
137	0.3010328853
138	0.2995468127
139	0.2986094737
140	0.2974139237
141	0.295764403
142	0.293825558
143	0.2924845637
144	0.2895362884
145	0.2884370697
146	0.2874239814
147	0.2866422839
148	0.2853984497
149	0.283282941
150	0.2819612001
151	0.2809278307
152	0.2788800425
153	0.2778149987
154	0.2753891039
155	0.2749069565
156	0.274250365
157	0.2726784457
158	0.2720923411
159	0.2713007142
160	0.2700635387
161	0.2694111358
162	0.2686322911
163	0.2676303218
164	0.2659780772
165	0.2649863788
166	0.2635433032
167	0.2624512905
168	0.2621186119
169	0.2604218022
170	0.259761099
171	0.2573306807
172	0.2551980415
173	0.2546077378
174	0.2537656751
175	0.2525922086
176	0.2517479545
177	0.2507369006
178	0.2497202094
179	0.2488870817
180	0.2481978598
181	0.2471975397
182	0.2462220145
183	0.2455158592
184	0.2442800458
185	0.2433477468
186	0.2427922163
187	0.2420664342
188	0.2414178516
189	0.2404444714
190	0.2398993141
191	0.2388899626
192	0.2375537454
193	0.2367194821
194	0.235032795
195	0.2344944921
196	0.233640558
197	0.232731975
198	0.2320753612
199	0.231141209
200	0.2306109964
201	0.2293550734
202	0.2279042568
203	0.2259144749
204	0.2256569143
205	0.2244755876
206	0.2228980828
207	0.2222120128
208	0.2214325651
209	0.2200793993
210	0.2188231595
211	0.2184041932
212	0.2177346249
213	0.2168355946
214	0.2156937106
215	0.214421117
216	0.2135763531
217	0.2130045083
218	0.212089691
219	0.2111121082
220	0.2106212063
221	0.2092686115
222	0.2085225897
223	0.208176675
224	0.2070330811
225	0.206441216
226	0.2058548667
227	0.2052092372
228	0.2046953121
229	0.2039131627
230	0.2033533895
231	0.2029841726
232	0.2025452086
233	0.2015711298
234	0.2008948339
235	0.2000559953
236	0.1992165448
237	0.1985600201
238	0.198085516
239	0.1969925128
240	0.1962912178
241	0.1954667099
242	0.1949176452
243	0.1945009343
244	0.194216993
245	0.193718862
246	0.1931679412
247	0.1926312027
248	0.1918099331
249	0.1909686829
250	0.1905252064
251	0.1898894926
252	0.1888265464
253	0.188294798
254	0.1876782398
255	0.1870658117
256	0.1865485771
257	0.1861382591
258	0.1858287413
259	0.1850554403
260	0.1847529316
261	0.1843547066
262	0.1838747431
263	0.1836695737
264	0.182576391
265	0.1822812578
266	0.1818878133
267	0.1807996369
268	0.1802720894
269	0.179668622
270	0.1791154228
271	0.1783513828
272	0.1779997861
273	0.1773417414
274	0.1771050302
275	0.1765191335
276	0.1759462803
277	0.1755362813
278	0.1752068782
279	0.1749748569
280	0.1746559741
281	0.174449651
282	0.1741531339
283	0.173117715
284	0.1725900226
285	0.1721643489
286	0.1717524685
287	0.1714625344
288	0.1712075577
289	0.1702736038
290	0.1697959038
291	0.1694586554
292	0.1689817655
293	0.1685656882
294	0.1682668877
295	0.1676469131
296	0.1671776919
297	0.1668471834
298	0.1664726362
299	0.1663486895
300	0.1659558723
301	0.1654807295
302	0.1649341299
303	0.1644461182
304	0.1640401244
305	0.1630388467
306	0.1623032538
307	0.1618514141
308	0.1613448226
309	0.1612066105
310	0.1607493262
311	0.1603315769
312	0.1597658036
313	0.1591171009
314	0.1589652835
315	0.1586527806
316	0.1583966751
317	0.1576612172
318	0.1574591759
319	0.1569140415
320	0.1564923049
321	0.1562363061
322	0.1557228778
323	0.1555478615
324	0.1552646411
325	0.1546612575
326	0.1543879765
327	0.1541847071
328	0.1535798142
329	0.1533008389
330	0.1529984987
331	0.1525900323
332	0.1521823327
333	0.1519143773
334	0.1511237255
335	0.1506453637
336	0.1503582348
337	0.1500270209
338	0.1491121288
339	0.1485509711
340	0.148311872
341	0.1479502643
342	0.1475880494
343	0.1472436361
344	0.1469122121
345	0.146482774
346	0.1460758513
347	0.1455785846
348	0.1451289598
349	0.1449239803
350	0.1440950665
351	0.1435572432
352	0.1432743207
353	0.1430087477
354	0.1427598719
355	0.1423563794
356	0.1420995868
357	0.1419643133
358	0.1415629709
359	0.1411386708
360	0.1406217263
361	0.1403485527
362	0.1400392547
363	0.1394795667
364	0.1393417109
365	0.1389751477
366	0.1387771089
367	0.1384369968
368	0.137608655
369	0.1372604226
370	0.1368465599
371	0.1363778508
372	0.1360355246
373	0.1355290364
374	0.1351400608
375	0.1346585083
376	0.1341791606
377	0.133736031
378	0.133296363
379	0.1326753182
380	0.1323565076
381	0.1321463808
382	0.131737188
383	0.1313524545
384	0.1309974755
385	0.1306097326
386	0.1301356117
387	0.1298922148
388	0.1295119148
389	0.1291761112
390	0.1289892993
391	0.1286923398
392	0.1284427839
393	0.1280212708
394	0.1276814668
395	0.1275523399
396	0.1272005593
397	0.1266505925
398	0.126039159
399	0.1257097481
400	0.1253633032
401	0.1252123153
402	0.1248411908
403	0.1245698228
404	0.1242084985
405	0.1235184887
406	0.1231095473
407	0.1227617213
408	0.1222980052
409	0.121890384
410	0.121632653
411	0.1212092881
412	0.1210223787
413	0.1207224273
414	0.1204201061
415	0.1202821221
416	0.1200020892
417	0.1196974526
418	0.1194033505
419	0.1191246014
420	0.1189030497
421	0.1186641
422	0.1185264483
423	0.1183571172
424	0.1181974472
425	0.1179495384
426	0.1176879037
427	0.1173635231
428	0.1171106489
429	0.1168284708
430	0.1165884305
431	0.1162857808
432	0.1158122355
433	0.1156917911
434	0.1154638979
435	0.1153080692
436	0.115026017
437	0.1147878138
438	0.1145522707
439	0.1141430688
440	0.114004562
441	0.1135772468
442	0.1133542524
443	0.1130819871
444	0.1127647803
445	0.1125831743
446	0.1123101073
447	0.1121376766
448	0.1119575705
449	0.1117640052
450	0.1114485208
451	0.1109082359
452	0.1104745276
453	0.110326366
454	0.1099582069
455	0.1096731518
456	0.1095079068
457	0.1092438796
458	0.109012695
459	0.1087280449
460	0.1085154627
461	0.1083977353
462	0.1081826401
463	0.1080443996
464	0.1077299447
465	0.1075725484
466	0.1073222199
467	0.1071513348
468	0.106998341
469	0.1068739834
470	0.1066926898
471	0.1065803228
472	0.1064170306
473	0.1063406561
474	0.1060577384
475	0.1058942571
476	0.1058235904
477	0.1056925804
478	0.1052993438
479	0.1050227807
480	0.1048322681
481	0.1047156886
482	0.1045470963
483	0.1042697349
484	0.1040066135
485	0.1038743178
486	0.1036894444
487	0.1034518703
488	0.1033297656
489	0.1030259743
490	0.1028533551
491	0.1025567936
492	0.1023004618
493	0.1019155197
494	0.1015626963
495	0.1014034953
496	0.101041566
497	0.1008348615
498	0.1003786275
499	0.1001953323
500	0.09991343911
501	0.09960794602
502	0.09942077883
503	0.0992479274
504	0.09899732571
505	0.0986144028
506	0.09846817842
507	0.09830891216
508	0.09810014011
509	0.0979348805
510	0.09755211119
511	0.09737213816
512	0.09732640977
513	0.09716957389
514	0.09707050924
515	0.09688379822
516	0.09666659808
517	0.09647873512
518	0.0961156662
519	0.09589681846
520	0.09559137949
521	0.09549995634
522	0.09530395602
523	0.09499952944
524	0.09486795432
525	0.09458503127
526	0.09446709013
527	0.09428042913
528	0.09414204371
529	0.09405679678
530	0.09385428875
531	0.09371490663
532	0.09352043412
533	0.09334398559
534	0.09317134657
535	0.09302248616
536	0.0928381611
537	0.09269542144
538	0.09258453107
539	0.09251117002
540	0.09235971637
541	0.0921705692
542	0.09205963025
543	0.09194194482
544	0.09164664119
545	0.09152310193
546	0.09133370518
547	0.09104894273
548	0.09091565257
549	0.09072894831
550	0.09061980499
551	0.09043848658
552	0.09027009628
553	0.09017232411
554	0.09001857476
555	0.08984672263
556	0.08967600877
557	0.08952101092
558	0.08935019936
559	0.08929304745
560	0.0891270999
561	0.08902909106
562	0.08884391449
563	0.0886444411
564	0.08845030696
565	0.08833965905
566	0.08816995018
567	0.08797409495
568	0.08780287998
569	0.08763392354
570	0.08738288274
571	0.08712738973
572	0.08682382046
573	0.08667996003
574	0.08638020432
575	0.08617285213
576	0.0859679311
577	0.08589080491
578	0.08560802522
579	0.08542119159
580	0.08520907106
581	0.08511061737
582	0.08497059958
583	0.08479435241
584	0.08469888197
585	0.0846482352
586	0.0843529343
587	0.08425991594
588	0.08411967936
589	0.08395405525
590	0.08388308533
591	0.08360321777
592	0.08349790177
593	0.0833471675
594	0.08313332148
595	0.08297561192
596	0.0829285322
597	0.08282052019
598	0.08274906997
599	0.08259883614
600	0.08243574199
601	0.08235571493
602	0.08216608477
603	0.08196795341
604	0.08186473454
605	0.08165599217
606	0.08152784924
607	0.08140841294
608	0.08133192559
609	0.08119901361
610	0.08100730034
611	0.08092905791
612	0.08080419019
613	0.08072081116
614	0.0805793403
615	0.08051082946
616	0.08038652199
617	0.08028286553
618	0.08016048819
619	0.07997760095
620	0.07990207235
621	0.07974309277
622	0.07953863419
623	0.07945649247
624	0.0793421935
625	0.07921111479
626	0.07916884992
627	0.07901316789
628	0.07891009236
629	0.07877338124
630	0.07852844428
631	0.07836489324
632	0.07823222406
633	0.07815322937
634	0.07806147643
635	0.07785369415
636	0.07774230701
